Image_name|caption_number|caption
Q001.jpg|0|Terdapat satu orang perempuan muda yang berdiri di bagian depan gambar.
Q001.jpg|1|Ia mengenakan hijab berwarna merah muda, kacamata, jas almamater berwarna biru tua dengan kancing emas, serta celana jeans berwarna biru muda.
Q001.jpg|2|Perempuan tersebut sedang berpose dengan menyilangkan kedua tangannya di depan dada sambil tersenyum ramah menghadap kamera.
Q001.jpg|3|Pada bagian fasad bangunan putih di belakangnya, terdapat tulisan besar REKTORAT serta bendera Merah Putih yang berkibar di tiang tengah.
Q001.jpg|4|Latar belakang menunjukkan area kampus dengan kolam air mancur berwarna hijau yang sedang menyemprotkan air, diapit oleh pepohonan rindang di bawah langit biru yang cerah.
Q002.jpg|0|Terdapat sebelas orang yang terdiri dari delapan laki-laki dan tiga perempuan, yang tampaknya merupakan akademisi atau staf profesional, berdiri berjajar di atas panggung.
Q002.jpg|1|Para pria mengenakan kemeja batik lengan panjang dengan berbagai motif dan warna seperti cokelat, biru tua, serta hijau, sementara para wanita mengenakan atasan formal dengan hijab berwarna abu-abu, ungu, merah, dan hitam.
Q002.jpg|2|Seluruh kelompok tersebut tersenyum ramah ke arah kamera sambil mengepalkan tangan kanan mereka di depan dada dalam pose yang menunjukkan semangat atau solidaritas.
Q002.jpg|3|Di belakang mereka terdapat dua spanduk besar, di mana spanduk kiri bertuliskan Dear Astrid dan MENTAL HEALTH TALK SHOW, sedangkan spanduk kanan memuat logo Institut Teknologi Sepuluh Nopember (ITS) dengan tulisan RESILIENSI STRATEGI BERTAHAN DAN BANGKIT SESUAI RENCANA.
Q002.jpg|4|Latar belakang foto adalah sebuah ruangan aula atau kelas seminar dengan dinding berhias pola heksagonal kuning dan abu-abu, layar proyektor di tengah, serta meja panjang di bagian depan yang dilengkapi dengan botol air mineral dan vas bunga.
Q003.jpg|0|Tiga orang laki-laki terlihat dalam gambar ini, yang terdiri dari seorang wisudawan dan dua orang pejabat akademik.
Q003.jpg|1|Wisudawan mengenakan jubah hitam dengan kerah berwarna biru muda dan merah, sementara pejabat akademik di sebelahnya mengenakan jubah hitam dengan aksen ungu dan kalung emas, serta keduanya memakai topi toga hitam dan masker wajah berwarna hitam.
Q003.jpg|2|Pejabat akademik tersebut sedang menyentuh dahi wisudawan dengan tangan kanannya sebagai bentuk penghormatan atau restu, sementara wisudawan menundukkan kepalanya dan memegang tangan pejabat tersebut dengan kedua tangannya.
Q003.jpg|3|Terdapat tulisan besar WISUDA 124 pada latar belakang, serta logo BERITA JATIM.com di pojok kanan atas dan logo KOMUNIKASI PUBLIK ITS di pojok kanan bawah.
Q003.jpg|4|Acara ini berlangsung di dalam sebuah ruangan atau panggung dengan latar belakang spanduk besar bergambar gedung, serta terdapat meja dengan botol handsanitizer di sebelah kanan.
Q004.jpg|0|Gedung utama yang terlihat dalam gambar adalah bangunan dengan atap merah bata dan dinding putih yang mencolok, berada di pusat area kampus.
Q004.jpg|1|Arsitektur bangunan ini memiliki bentuk persegi panjang dengan beberapa jendela besar dan logo institusi yang terletak di bagian tengah fasad.
Q004.jpg|2|Di depan gedung terdapat tulisan INSTITUT TEKNOLOGI SEPULUH NOPEMBER yang jelas terbaca, serta sebuah kolam kecil dengan air tenang di sekitarnya.
Q004.jpg|3|Pohon-pohon rindang mengelilingi area gedung, sementara beberapa kendaraan terparkir di jalanan sekitar.
Q004.jpg|4|Suasana lingkungan tampak tenang dengan pencahayaan alami yang menunjukkan cuaca cerah dan langit yang sedikit berawan.
Q005.jpg|0|Gedung Rektorat Institut Teknologi Sepuluh Nopember (ITS) menjadi fokus utama gambar ini, dengan desain arsitektur yang khas dan modern.
Q005.jpg|1|Bangunan berwarna putih dominan dengan atap merah bata, memiliki bentuk persegi panjang dan terdiri dari dua lantai dengan jendela-jendela besar yang simetris.
Q005.jpg|2|Di bagian tengah fasad gedung, terdapat logo ITS yang menampilkan lambang roda gigi dengan warna biru dan oranye, serta tulisan REKTORAT yang jelas terbaca di bawahnya.
Q005.jpg|3|Sebuah tiang bendera berdiri tegak di depan gedung, namun bendera tidak berkibar, mengindikasikan suasana tenang.
Q005.jpg|4|Langit biru cerah dengan sedikit awan putih menambah kesan formal dan terang pada keseluruhan pemandangan.
Q006.jpg|0|Terdapat tiga orang mahasiswa, yang terdiri dari satu perempuan dan dua laki-laki, sedang berpose di area kampus.
Q006.jpg|1|Ketiganya mengenakan seragam almamater berupa jaket berwarna biru tua dengan bawahan yang bervariasi, di mana mahasiswi tersebut juga mengenakan hijab berwarna cokelat.
Q006.jpg|2|Mereka sedang melakukan aktivitas santai di mana mahasiswi berbaring tengkurap sambil memegang laptop, satu mahasiswa laki-laki duduk minum air dari botol, dan satu laki-laki lainnya duduk sambil memegang buku.
Q006.jpg|3|Di bagian dinding gedung putih di latar belakang, terdapat sebuah logo melingkar berwarna-warni dan tulisan yang terbaca sebagai HERITAT di bawahnya.
Q006.jpg|4|Mereka berada di atas lantai papan kayu berwarna cokelat kemerahan yang berbatasan langsung dengan kolam air hijau berair mancur, dengan sebuah gedung besar dan pepohonan rindang sebagai latar belakangnya.
Q007.jpg|0|Banyak orang yang terlihat dalam gambar ini, terdiri dari mahasiswa wisudawan laki-laki dan perempuan serta beberapa anggota pramuka yang mengikuti jalannya acara.
