Image_name|caption_number|caption
Q001.jpg|0|Satu orang perempuan yang berwarna hijau, biru, dan putih, mengenai pondok kemasan.
Q001.jpg|1|Pakaian perempuan terdiri dari blazer hitam, celana jeans, dan topi hijau.
Q001.jpg|2|Orang menghadiri posisi yang berpakaian di depan fountain, mengenai pondok kemasan.
Q001.jpg|3|Pondok kemasan memiliki spanduk dengan logo ITS dan banyak lantai.
Q001.jpg|4|Latar belakang terdiri dari taman parkir yang ada fountain, dan pada bagian kanan ada bangunan dengan jendela.
Q002.jpg|0|Orang-orang yang terlihat dalam gambar adalah sekurangnya 8 orang, termasuk 4 laki-laki dan 4 perempuan.
Q002.jpg|1|Semua orang mengenakan pakaian formal atau semi-formal, dengan warna yang beragam.
Q002.jpg|2|Orang-orang di depan menghadiri sesi diskusi atau presentasi, dan salah satu orang sedang memberikan tanda klasifikasi dengan menggunakan tangan kanan.
Q002.jpg|3|Dalam gambar tersebut ada banner yang berisi teks Mental Health, dan sebuah logo pada bagian kiri atas, yang menunjukkan bahwa sesi ini mungkin berkaitan dengan mental health atau kebijakan terkaitnya.
Q002.jpg|4|Latar belakang sesi adalah sebuah ruangan yang terlihat modern dan profesional, dengan pemasaran di depan dan perpustakaan di latar belakang.
Q003.jpg|0|Satu orang yang terlihat dalam gambar ini.
Q003.jpg|1|Orang tersebut adalah laki-laki.
Q003.jpg|2|Orang tersebut menerima pencapai atau penghargaan dari seorang yang berpakaian seragam akademik dan biru.
Q003.jpg|3|Seragam akademik yang dipakai adalah seragam ITS, yaitu seragam biru dengan kelopak atau tulisan pada bagian depan.
Q003.jpg|4|Orang tersebut menerima penghargaan dari seorang yang berpakaian seragam akademik dan biru, yang memiliki tudung putih dan mengenakkan kelopak atau tulisan pada bagian depan.
Q004.jpg|0|Di gambar tersebut, terlihat satu orang yang berwarna pakaian biru dan memakai seragam pendekatan.
Q004.jpg|1|Orang tersebut sedang menjaga atau mengelola kebijakan di depan sebuah bangunan dengan tingkat atas yang merah.
Q004.jpg|2|Orang tersebut memiliki akses ke dalam bangunan dengan menggunakan kunci, dan sedang menjaga atau mengelola kebijakan di depan sebuah bangunan dengan tingkat atas yang merah.
Q004.jpg|3|Bendera pada bangunan tersebut memiliki warna biru dan merah, serta ada teks ITS yang ditulis di atasnya.
